"filename", "language", "JSON", "JavaScript", "YAML", "JSON with Comments", "TypeScript", "Markdown", "CSS", "HTML", "TypeScript JSX", "JavaScript JSX", "CMake", "C++", "XML", "comment", "blank", "total"
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\bin\ffmpeg\doc\style.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 1, 24
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.base.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 76
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.eslint.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.main.dev.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 68
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.main.prod.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 84
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.preload.dev.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 19, 13, 72
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.renderer.dev.dll.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 78
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.renderer.dev.ts", "TypeScript", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 228
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.config.renderer.prod.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 142
"c:\Users\hores\OneDrive - University College London\University\Year 2\COMP0016 - Systems Engineering\AudioVisuliserV3\.erb\configs\webpack.paths.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
